;Temp factor;Continentality;Light value;Humidity values;Soil moisture variability;Soil nutrients;Soil humus;Life form LF;Leaf duration;Root depth;pH
Phyteuma_scheuchzeri;2,5;4;4;2,5;1;2;1;h;s;NA;3
Picea_abies;2,5;3;1;3;1;3;5;p;i;4,5;NA
Pimpinella_major;3,5;2;3;3,5;1;4;3;h;s;3,5;3
Plantago_lanceolata;2,5;3;3;3,5;4;3;3;h;NA;NA;NA
Poa_nemoralis;3;3;3;2,5;1;3;3;h;t;1;3
Poa_pratensis;3;3;4;3,5;1;4;3;h;w;2,5;3
Polygala_comosa;3,5;4;4;2;2;2;3;h;t;2;4
Polygonatum_odoratum;3;4;3;2;2;3;3;g;s;NA;4
Polygonatum_verticillatum;2,5;2;2;3,5;2;3;3;g;s;2;3
Potentilla_erecta;3;3;3;3;3;2;5;h;t;1,5;2
Potentilla_micrantha;4,5;4;3;2;1;3;3;h;w;NA;3
Prenanthes_purpurea;3;3;2;3;1;3;3;h;s;2,5;3
Primula_vulgaris;3;4;3;3;4,5;2;2;h;NA;2;NA
Prunus_avium;4;3;3;3,5;1;3;3;p;s;4,5;3
Prunus_laurocerasus;4,5;2;2;2,5;1;3;3;n-p;i;NA;3
Pseudoturritis_turrita;2;5;2;3;3,5;4;NA;h;NA;NA;NA
Ranunculus_acris;3;4;3;3;3;3;3;h;t;1,5;3
Ranunculus_platanifolius;2,5;3;2;3;2;3;3;h;s;NA;3
Rhinanthus_alectorolophus;3;4;3;4;3;3;NA;h;t;NA;NA
Robinia_pseudoacacia;4,5;3;3;2,5;1;4;3;p;s;4,5;3
Rosa_arvensis;3,5;2;3;3;2;3;3;n.li;s;NA;4
Rubus_fruticosus;4;NA;3;3;1;4;3;d-f;t;NA;NA
Rubus_saxatilis;3;3;2;3;2;2;3;h;s;3;4
Rumex_acetosa;3,5;3;4;3;2;4;3;h;w;3,5;3
Salvia_glutinosa;3;3;2;3,5;2;4;3;h;s;NA;4
Salvia_pratensis;3,5;4;4;2;1;2;3;h;s;4;4
Sanguisorba_officinalis;3,5;3;4;3,5;3;4;5;h;s;3;3
Scilla_bifolia;4,5;2;2;3,5;2;3;3;g;v;NA;4
Senecio_nemorensis;3,5;3;4;3;2;2;NA;h;NA;NA;NA
Sorbus_aria;3,5;3;3;2;2;2;3;p;s;2,5;3
Sorbus_aucuparia;3;3;3;3;1;3;3;n-p;s;4;3
Stellaria_graminea;3,5;3;3;3;3;3;3;h;t;1,5;2
Stellaria_nemorum;2,5;2;2;NA;3;4;3;h;w;1,5;3
Symphytum_tuberosum;4;1;2;3,5;2;3;5;g;s;NA;4
Tanacetum_corymbosum;4;4;3;2;2;2;3;h;t;3;4
Taraxacum_officinale;3;3;4;4;1;3;3;h;t;NA;NA
Teucrium_chamaedrys;1,5;4;2;3;1;4,5;4;z;NA;NA;NA
Thymus_serpyllum;NA;NA;4;1,5;1;2;3;c;i;NA;3
Tillia_cordata;4;4;2;2,5;1;2;3;p;s;3,5;3
Trifolium_pratense;3,5;3;4;3;1;3;3;h-t;w;2,5;3
Trifolium_repens;3;3;4;3;2;4;3;c-h;w;3;3
Urtica_dioica;3;3;3;3,5;3;5;3;h;s;3;3
Veratrum_album;2,5;2;3;4;3;4;5;h;s;2,5;4
Veronica_chamaedrys;3;3;3;2,5;1;3;3;c-h;t;1,5;4
Veronica_persica;3,5;3;4;3;1;4;3;t;s w;1;4
Vicia_sepium;3,5;3;3;3;1;3;3;h.li;w;1,5;3
Vinca_minor;3,5;3;2;3;1;3;3;z;i;NA;4
Viola_hirta;3,5;3;3;2,5;1;2;3;h;w;1,5;4
Viola_reichenbachiana;3;2;2;3;1;3;3;h;t;1;3
